Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa31115	metalloendopeptidase activity
Mcavernosa24654	polycystic kidney disease protein 1-like
Mcavernosa10753	Glycerate kinase
Mcavernosa15617	intraciliary transport
Mcavernosa22583	cysteine-type endopeptidase activity
Mcavernosa20594	Hairy and enhancer of split-related protein helt
Mcavernosa24377	peptidyl-glycine alpha-amidating monooxygenase
Mcavernosa05831	chondrocyte morphogenesis
Mcavernosa04280	Ion transport protein
Mcavernosa01131	EamA-like transporter family
Mcavernosa07080	ubiquinol-cytochrome-c reductase activity
Mcavernosa24929	Homeobox protein otx5-like
Mcavernosa23853	progesterone receptor signaling pathway
Mcavernosa07075	rRNA processing
Mcavernosa17308	Belongs to the cullin family
Mcavernosa00616	dioxygenase activity
Mcavernosa28914	Complement component 1 q
Mcavernosa18004	DNA binding
Mcavernosa04994	thyroxine 5'-deiodinase activity
Mcavernosa10213	Protein of unknown function (DUF3808)
Mcavernosa27741	Activating molecule in BECN1-regulated autophagy protein
Mcavernosa14240	N-sulfoglucosamine sulfohydrolase
Mcavernosa00464	epidermal growth factor receptor
Mcavernosa20271	sulfuric ester hydrolase activity
Mcavernosa19888	Galactosyltransferase
Mcavernosa29052	Non-specific lipid-transfer
Mcavernosa15988	JUN kinase kinase activity
Mcavernosa08228	RAWUL domain RING finger- and  WD40-associated ubiquitin-like
Mcavernosa10692	Golgi to endosome transport
Mcavernosa01622	ATP-dependent RNA helicase
Mcavernosa10914	leucyl-tRNA aminoacylation
Mcavernosa21534	Broad-Complex, Tramtrack and Bric a brac
Mcavernosa12308	transmembrane receptor protein tyrosine kinase activity
Mcavernosa20084	negative regulation of mRNA splicing, via spliceosome
Mcavernosa11463	signaling receptor binding
Mcavernosa26175	monocarboxylate transporter
Mcavernosa18743	appendage morphogenesis
Mcavernosa03691	oxidoreductase activity
Mcavernosa30873	methylglyoxal metabolic process
Mcavernosa06174	U3 small nucleolar ribonucleoprotein
Mcavernosa19281	telomere formation via telomerase
Mcavernosa08151	-
Mcavernosa33703	DNA Topoisomerase I (eukaryota)
Mcavernosa29033	DET1 homolog
Mcavernosa18469	Importin
Mcavernosa29260	biological adhesion
Mcavernosa17956	Ligand for members of the frizzled family of seven transmembrane receptors
Mcavernosa24974	Belongs to the class-I aminoacyl-tRNA synthetase family
Mcavernosa04130	serine-type endopeptidase activity
Mcavernosa17050	endocytic recycling
Mcavernosa16048	acyl-coenzyme A thioesterase
Mcavernosa10008	cell cycle
Mcavernosa06918	zinc ion binding
Mcavernosa08205	RNA polymerase binding
Mcavernosa25739	RNA-binding protein Musashi homolog
Mcavernosa12785	mitochondrial respiratory chain complex I assembly
Mcavernosa32585	protein folding in endoplasmic reticulum
Mcavernosa03078	polycomb repressive complex 2 subunit
Mcavernosa03502	N-succinyltransferase activity
Mcavernosa00935	NADPH:sulfur oxidoreductase activity
Mcavernosa24754	glycerol channel activity
Mcavernosa03823	hydrolase activity
Mcavernosa25562	G-protein coupled receptor activity
Mcavernosa33934	isocitrate dehydrogenase (NADP+) activity
Mcavernosa02576	Exosome complex component RRP45
Mcavernosa05961	calmodulin binding
Mcavernosa20861	endoribonuclease activity, cleaving siRNA-paired mRNA
Mcavernosa17103	cysteine-tRNA ligase activity
Mcavernosa26327	5'-nucleotidase
Mcavernosa12139	intramolecular lyase activity
Mcavernosa28667	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Mcavernosa07201	neuropeptide receptor activity
Mcavernosa10367	attachment of GPI anchor to protein
Mcavernosa13171	Methyltransferase
Mcavernosa26276	FK506 binding
Mcavernosa01292	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa21590	Guanine nucleotide-binding protein
Mcavernosa03658	adherens junction organization
Mcavernosa27086	Broad-specificity nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. May have a role in nuclear energy homeostasis. Has also ATPase activity. May be involved in regulation of Cajal body (CB) formation
Mcavernosa33753	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation
Mcavernosa29242	extracellular matrix structural constituent
Mcavernosa28047	assists the folding of proteins upon ATP hydrolysis
Mcavernosa15944	SEC62 homolog, preprotein translocation factor
Mcavernosa28399	quinone binding
Mcavernosa29892	Domain of unknown function (DUF4496)
Mcavernosa25075	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Mcavernosa02918	Radical S-adenosyl methionine
Mcavernosa28107	DNA replication proofreading
Mcavernosa30959	Peroxiredoxin
Mcavernosa12856	CUB and zona pellucida-like domain-containing protein
Mcavernosa15729	Dynein, light chain
Mcavernosa32103	Subunit of the peripheral V1 complex of vacuolar ATPase essential for assembly or catalytic function. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Mcavernosa15590	transmembrane protein 199
Mcavernosa18242	harbinger transposase derived 1
Mcavernosa02333	translation regulator activity
Mcavernosa33759	response to herbicide
Mcavernosa10623	mitochondrial pyruvate transmembrane transport
Mcavernosa24990	Rho guanyl-nucleotide exchange factor activity
Mcavernosa17030	Ankyrin repeat
Mcavernosa14908	Serine/Threonine protein kinases, catalytic domain
Mcavernosa21263	nucleic acid-templated transcription
Mcavernosa30789	BRISC and BRCA1-A complex member
Mcavernosa05492	acyl-coenzyme A thioesterase
Mcavernosa24509	store-operated calcium channel activity
Mcavernosa08128	Coagulation factor 5/8 C-terminal domain, discoidin domain
Mcavernosa02481	RNA processing
Mcavernosa32415	positive regulation of extracellular matrix disassembly
Mcavernosa09970	protein heterodimerization activity
Mcavernosa16317	Tetraspanin-7
Mcavernosa16202	gamma-aminobutyric acid:sodium symporter activity
Mcavernosa22017	iron assimilation by reduction and transport
Mcavernosa05706	plus-end directed microfilament motor activity
Mcavernosa18459	DNA-directed 5'-3' RNA polymerase activity
Mcavernosa01990	Solute carrier organic anion transporter family, member
Mcavernosa01399	peroxidase activity
Mcavernosa31602	histone acetylation
Mcavernosa27569	monocarboxylate transporter
Mcavernosa26254	proteasome assembly
Mcavernosa05134	GTPase activator activity
Mcavernosa24678	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
Mcavernosa20549	guanylate cyclase activity
Mcavernosa26315	Exonuclease
Mcavernosa14019	hydroxyacylglutathione hydrolase activity
Mcavernosa17244	RING-like zinc finger
Mcavernosa28889	nuclease activity
Mcavernosa01362	Roundabout binding
Mcavernosa18758	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Mcavernosa10899	seryl-tRNA aminoacylation
Mcavernosa27185	chaperone cofactor-dependent protein refolding
Mcavernosa18962	Methyltransferase domain
Mcavernosa28112	-
Mcavernosa24331	WW domain-containing oxidoreductase
Mcavernosa00043	laminin subunit
Mcavernosa08400	Nitric oxide synthase
Mcavernosa27913	mitotic cell cycle checkpoint
Mcavernosa03109	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase
Mcavernosa21721	negative regulation of TORC1 signaling
Mcavernosa25264	Transposase IS4
Mcavernosa30817	A disintegrin and metalloproteinase with thrombospondin motifs
Mcavernosa18772	aldehyde dehydrogenase (NAD) activity
Mcavernosa26123	protein K6-linked deubiquitination
Mcavernosa07668	branched-chain amino acid transmembrane transporter activity
Mcavernosa04093	Homeodomain
Mcavernosa11008	serine-type endopeptidase activity
Mcavernosa25725	Neural precursor cell expressed, developmentally down-regulated 1
Mcavernosa32622	cell-cell adhesion
Mcavernosa05613	Palmitoyl-protein thioesterase 1
Mcavernosa20992	Chromodomain helicase DNA binding protein
Mcavernosa15474	negative regulation of smooth muscle cell differentiation
Mcavernosa21315	G-protein coupled receptor activity
Mcavernosa21273	Zinc finger, C3HC4 type (RING finger)
Mcavernosa19398	zinc ion binding
Mcavernosa33428	Helicase with zinc finger
Mcavernosa27475	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Mcavernosa32993	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
Mcavernosa30361	semaphorin receptor binding
Mcavernosa02292	smooth muscle cell chemotaxis
Mcavernosa03617	amino acid transmembrane transporter activity
Mcavernosa30246	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Mcavernosa10381	anterograde synaptic vesicle transport
Mcavernosa03351	regulation of vesicle fusion
Mcavernosa15735	phosphatidylserine binding
Mcavernosa07151	enoyl-CoA hydratase isomerase family
Mcavernosa14354	ubiquitin-protein transferase activity
Mcavernosa10250	adenosine deaminase
Mcavernosa11208	Von Willebrand factor A
Mcavernosa04453	superoxide dismutase copper chaperone activity
Mcavernosa28692	ATP binding. It is involved in the biological process described with protein phosphorylation
Mcavernosa18021	zinc ion transport
Mcavernosa02278	positive regulation of interleukin-13 biosynthetic process
Mcavernosa11184	Mjmu-R1-like protein family
Mcavernosa00192	downstream neighbor of Son
Mcavernosa13897	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
Mcavernosa03710	polycystic kidney disease protein 1-like
Mcavernosa18110	Belongs to the AAA ATPase family
Mcavernosa02427	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Mcavernosa26436	SAM dependent carboxyl methyltransferase
Mcavernosa15749	Conserved region of unknown function on GLTSCR protein
Mcavernosa25431	TELO2-interacting protein 1 homolog
Mcavernosa25451	regulation of transcription by RNA polymerase III
Mcavernosa29842	Immunoglobulin C-2 Type
Mcavernosa06537	acetylcholine-gated cation-selective channel activity
Mcavernosa00548	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine
Mcavernosa29704	procollagen-proline 4-dioxygenase activity
Mcavernosa14090	WD repeat domain 90
Mcavernosa32836	DNA/RNA helicase activity
Mcavernosa05467	ATP-dependent DNA helicase activity
Mcavernosa04952	clathrin light chain binding
Mcavernosa21129	copper ion homeostasis
Mcavernosa23991	homeobox
Mcavernosa17549	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Mcavernosa20244	Leucine Rich repeat
Mcavernosa21153	Cilia and flagella associated protein 46
Mcavernosa15747	Potassium channel subfamily K member
Mcavernosa31077	positive regulation of histone H3-K79 methylation
Mcavernosa07775	maintenance of mitotic sister chromatid cohesion
Mcavernosa15584	CUB domain-containing protein 2
Mcavernosa22845	aldehyde dehydrogenase (NAD) activity
Mcavernosa11284	2,4-dienoyl-CoA reductase (NADPH) activity
Mcavernosa31084	Galactosyltransferase
Mcavernosa06248	e3 ubiquitin-protein ligase
Mcavernosa34173	Belongs to the WD repeat coronin family
Mcavernosa28028	denticleless E3 ubiquitin protein ligase homolog (Drosophila)
Mcavernosa19816	3'-tyrosyl-DNA phosphodiesterase activity
Mcavernosa21929	serine-type carboxypeptidase activity
Mcavernosa34445	cationic amino acid transporter
Mcavernosa24295	Vitamin K epoxide reductase complex, subunit
Mcavernosa00828	Homocysteine S-methyltransferase
Mcavernosa14820	plasma membrane repair
Mcavernosa23224	negative regulation of DNA damage response, signal transduction by p53 class mediator
Mcavernosa07585	Formiminotransferase domain, N-terminal subdomain
Mcavernosa31972	G-protein coupled receptor activity
Mcavernosa20968	G-protein coupled receptor activity
Mcavernosa12952	serine threonine-protein kinase HT1-like
Mcavernosa12519	cysteine and glycine-rich protein
Mcavernosa22249	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
Mcavernosa33483	dynein light chain binding
Mcavernosa27577	response to unfolded protein
Mcavernosa28819	ATP-dependent DNA helicase activity
Mcavernosa13328	translation initiation factor activity
Mcavernosa00157	GTP binding
Mcavernosa20823	positive regulation of endosome organization
Mcavernosa10513	protein linear polyubiquitination
Mcavernosa31002	sodium channel activity
Mcavernosa27100	acyl-CoA dehydrogenase family, member 11
Mcavernosa29699	protein-N-terminal glutamine amidohydrolase activity
Mcavernosa06482	BCL (B-Cell lymphoma); contains BH1, BH2 regions
Mcavernosa13396	lysosomal lumen pH elevation
Mcavernosa24400	Non-lysosomal glucosylceramidase that catalyzes the conversion of glucosylceramide to free glucose and ceramide
Mcavernosa12542	V-myc avian myelocytomatosis viral oncogene homolog
Mcavernosa01022	post-chaperonin tubulin folding pathway
Mcavernosa12596	Solute carrier family 25 member
Mcavernosa07475	pericentric heterochromatin assembly
Mcavernosa08698	mRNA transport
Mcavernosa33160	COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex dihydrolipoamide dehydrogenase (E3)
Mcavernosa09861	T-complex protein 11 homolog
Mcavernosa04062	intra-Golgi vesicle-mediated transport
Mcavernosa34187	Prefoldin subunit 6
Mcavernosa26886	alpha-L-fucosidase activity
Mcavernosa21230	N-acetylphosphatidylethanolamine-hydrolysing phospholipas activity
